assists,bonus,clean_sheets,code,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,status,team,team_code,total_points,web_name,yellow_cards,player_type
0,0,0,474772,Ben,0.0,0,0,737,False,0,40,0,0,0,0.0,0,0,Greenwood,a,3,BOU,0,Greenwood,0,DEF
0,0,0,496683,Max,0.0,0,0,738,False,0,40,0,0,0,0.0,0,0,Kinsey-Wellings,a,3,BOU,0,Kinsey-Wellings,0,DEF
0,0,2,61810,Pontus,0.0,14,1,78,False,722,42,0,0,0,2.4,0,0,Jansson,i,4,BRE,29,Jansson,0,DEF
6,6,6,128295,Christian,0.0,23,1,79,False,1763,53,0,0,0,3.2,0,0,Nørgaard,i,4,BRE,71,Nørgaard,6,MID
4,35,10,144485,Ivan,1.8,42,20,80,False,2953,71,0,1,0,5.5,0,0,Toney,s,4,BRE,182,Toney,9,FWD
0,20,12,154561,David,4.4,46,0,81,True,3420,48,1,0,0,4.4,0,154,Raya Martin,a,4,BRE,166,Raya,1,GKP
0,0,0,174932,Sergi,0.0,2,0,82,False,73,50,0,0,0,1.0,0,0,Canós Tenés,u,4,BRE,5,Canós,0,DEF
2,3,5,183656,Josh,2.6,17,4,83,False,1371,41,0,0,0,2.2,0,0,Dasilva,a,4,BRE,81,Dasilva,1,MID
0,0,4,191866,Kristoffer,0.0,14,0,84,False,763,45,0,0,0,3.2,0,0,Ajer,a,4,BRE,29,Ajer,0,DEF
3,4,11,194010,Rico,3.0,46,0,85,False,3240,44,0,0,0,3.0,0,0,Henry,a,4,BRE,112,Henry,4,DEF
1,5,8,204580,Vitaly,2.2,28,3,86,False,2201,55,0,0,0,2.4,0,0,Janelt,a,4,BRE,85,Janelt,3,MID
0,0,0,205836,Saman,0.6,5,0,87,False,124,48,0,0,0,1.0,0,0,Ghoddos,a,4,BRE,15,Ghoddos,0,MID
7,11,10,207283,Mathias,2.4,40,5,88,False,2805,48,0,0,0,3.6,0,0,Jensen,a,4,BRE,132,Jensen,5,MID
4,6,7,216646,Yoane,4.8,17,7,89,False,1587,53,0,0,0,2.9,0,0,Wissa,a,4,BRE,111,Wissa,3,MID
0,0,5,226956,Mads,0.6,12,0,90,False,1101,43,0,0,0,2.4,0,0,Roerslev Rasmussen,a,4,BRE,48,Roerslev,0,DEF
0,0,0,228044,Mads,0.0,0,0,91,False,18,45,0,0,0,1.0,0,0,Bech Sørensen,u,4,BRE,4,Bech,0,DEF
0,6,10,231065,Ethan,5.6,34,3,92,False,2700,44,1,0,0,3.7,0,0,Pinnock,a,4,BRE,112,Pinnock,0,DEF
3,0,3,428580,Frank,2.8,11,0,93,False,837,48,0,0,0,1.8,0,0,Onyeka,a,4,BRE,38,Onyeka,0,MID
2,0,1,432160,Shandon,1.0,6,0,94,False,600,45,0,0,0,1.3,1,0,Baptiste,a,4,BRE,29,Baptiste,1,MID
9,19,10,446008,Bryan,6.6,39,9,95,False,2905,57,0,0,0,3.9,0,0,Mbeumo,a,4,BRE,150,Mbeumo,5,FWD
0,0,0,213687,Charlie,0.0,0,0,96,False,0,39,0,0,0,0.0,0,0,Goode,u,4,BRE,0,Goode,0,DEF
0,0,0,216620,Marcus,0.0,0,0,97,False,0,45,0,0,0,0.0,0,0,Forss,u,4,BRE,0,Forss,0,FWD
0,0,0,232247,Dominic,0.0,0,0,98,False,0,40,0,0,0,0.0,0,0,Thompson,u,4,BRE,0,Thompson,0,DEF
0,0,0,481405,Mads,0.0,0,0,99,False,0,45,0,0,0,0.0,0,0,Bidstrup,u,4,BRE,0,Bidstrup,0,MID
0,0,0,235448,Ellery,0.0,0,0,100,False,0,40,0,0,0,0.0,0,0,Balcombe,u,4,BRE,0,Balcombe,0,GKP
3,2,5,472713,Aaron,4.0,30,0,510,False,1918,49,0,0,0,2.4,0,0,Hickey,a,4,BRE,63,Hickey,7,DEF
1,0,0,249231,Keane,0.0,4,0,515,False,313,52,0,0,0,1.4,0,0,Lewis-Potter,i,4,BRE,14,Lewis-Potter,0,MID
0,0,0,140200,Thomas,0.0,0,0,517,False,0,43,0,0,0,0.0,0,0,Strakosha,a,4,BRE,0,Strakosha,0,GKP
2,11,12,51927,Ben,4.6,40,3,526,False,3269,48,0,0,0,3.9,0,0,Mee,a,4,BRE,143,Mee,2,DEF
0,0,0,450550,Fin,0.0,0,0,540,False,0,40,0,0,0,0.0,0,0,Stevens,u,4,BRE,0,Stevens,0,DEF
1,0,0,434662,Halil,0.0,0,0,541,False,6,45,0,0,0,4.0,0,0,Dervişoğlu,u,4,BRE,4,Dervişoğlu,0,FWD
0,0,3,440089,Mikkel,1.6,14,0,580,False,970,50,0,0,0,1.3,0,0,Damsgaard,a,4,BRE,33,Damsgaard,4,MID
1,4,4,48760,Mathias,1.8,15,0,595,False,1097,39,1,0,0,2.5,0,0,Jorgensen,a,4,BRE,45,Zanka,2,DEF
0,0,0,591357,Ryan,0.0,0,0,632,False,0,44,0,0,0,0.0,0,0,Trevitt,a,4,BRE,0,Trevitt,0,MID
0,0,0,503300,Matthew,0.0,0,0,633,False,0,39,0,0,0,0.0,0,0,Cox,i,4,BRE,0,Cox,0,GKP
0,0,0,592661,Tristan,0.0,0,0,646,False,0,40,0,0,0,0.0,0,0,Crama,a,4,BRE,0,Crama,0,DEF
0,0,0,601975,Yegor,0.0,0,0,650,False,0,45,0,0,0,0.0,0,0,Yarmolyuk,a,4,BRE,0,Yarmolyuk,0,MID
1,0,3,513418,Kevin,1.8,7,0,688,False,723,49,0,0,0,1.6,0,0,Schade,a,4,BRE,29,Schade,2,MID
0,0,0,501284,Michael,0.0,0,0,752,False,0,45,0,0,0,0.0,0,0,Olakigbe,a,4,BRE,0,Olakigbe,0,MID
1,4,5,39155,Adam,0.0,10,2,101,False,717,48,0,0,0,2.9,0,0,Lallana,i,5,BHA,47,Lallana,0,MID
1,8,6,49262,Jason,3.4,23,0,102,False,1350,40,1,0,1,4.3,0,37,Steele,a,5,BHA,65,Steele,1,GKP
5,5,6,50175,Danny,2.9,28,6,103,False,1844,65,0,0,0,2.9,0,0,Welbeck,a,5,BHA,91,Welbeck,0,FWD
8,14,11,60307,Pascal,4.8,51,9,104,False,3240,54,1,0,0,4.3,0,0,Groß,a,5,BHA,159,Groß,7,MID
1,7,12,83299,Lewis,2.2,50,1,106,False,3240,48,1,0,0,3.1,0,0,Dunk,a,5,BHA,112,Dunk,4,DEF
10,16,10,109345,Solly,0.4,40,6,107,False,2719,52,0,0,0,4.5,0,0,March,d,5,BHA,147,March,2,MID
0,3,9,110735,Adam,1.5,27,0,108,False,1983,45,1,0,0,2.8,0,0,Webster,a,5,BHA,75,Webster,2,DEF
1,6,10,111478,Joël,0.8,29,1,109,False,2183,46,0,0,0,3.1,0,0,Veltman,a,5,BHA,95,Veltman,6,DEF
0,10,6,215059,Robert,0.0,30,0,113,False,2070,44,0,0,1,3.6,0,48,Sánchez,a,5,BHA,82,Sánchez,2,GKP
0,0,1,232792,Tariq,0.0,7,0,114,False,439,42,0,0,0,1.1,0,0,Lamptey,i,5,BHA,23,Lamptey,1,DEF
0,0,0,235382,Steven,0.0,0,0,115,False,0,44,0,0,0,0.0,0,0,Alzate,u,5,BHA,0,Alzate,0,MID
2,18,10,243016,Alexis,3.9,45,10,116,False,2882,56,1,0,0,4.0,0,0,Mac Allister,a,5,BHA,140,Mac Allister,8,MID
0,0,0,243505,Jakub,0.0,0,0,117,False,0,44,0,0,0,0.0,0,0,Moder,i,5,BHA,0,Moder,0,MID
1,0,0,423649,Enock,0.0,4,0,118,False,209,53,0,0,0,1.8,0,0,Mwepu,u,5,BHA,11,Mwepu,0,MID
2,0,1,441192,Jeremy,0.0,2,0,119,False,168,45,0,0,0,1.8,0,0,Sarmiento Morante,i,5,BHA,16,Sarmiento,1,MID
1,0,10,486672,Moisés,1.8,47,1,120,False,3138,50,0,0,0,2.1,0,0,Caicedo Corozo,a,5,BHA,79,Caicedo,10,MID
0,0,0,209045,Taylor,0.0,0,0,121,False,0,45,0,0,0,0.0,0,0,Richards,u,5,BHA,0,Richards,0,MID
0,0,0,433589,Haydon,0.0,0,0,122,False,0,40,0,0,0,0.0,0,0,Roberts,u,5,BHA,0,Roberts,0,DEF
2,4,2,450434,Deniz,4.2,9,5,123,False,614,50,1,0,0,2.4,0,0,Undav,a,5,BHA,52,Undav,2,FWD
9,11,8,451340,Kaoru,2.8,35,7,124,False,2311,57,0,0,0,4.2,0,0,Mitoma,a,5,BHA,138,Mitoma,0,MID
3,7,4,474120,Julio,3.5,12,4,125,False,794,46,0,0,0,2.9,0,0,Enciso,a,5,BHA,57,Enciso,1,FWD
0,0,0,484658,Kacper,0.0,0,0,126,False,0,45,0,0,0,0.0,0,0,Kozłowski,u,5,BHA,0,Kozłowski,0,MID
1,0,2,243568,Billy,1.8,8,0,149,False,502,42,0,0,0,1.5,0,0,Gilmour,a,5,BHA,21,Gilmour,1,MID
0,0,0,240514,Kjell,0.0,0,0,542,False,0,40,0,0,0,0.0,0,0,Scherpen,u,5,BHA,0,Scherpen,0,GKP
0,0,0,178173,Matt,0.0,0,0,543,False,0,40,0,0,0,0.0,0,0,Clarke,u,5,BHA,0,Clarke,0,DEF
0,0,0,469142,Jan Paul,0.2,7,0,544,False,291,40,0,0,0,0.8,0,0,van Hecke,a,5,BHA,6,Van Hecke,2,DEF
2,6,3,460028,Levi,2.5,21,0,559,False,1218,44,0,0,0,2.7,0,0,Colwill,a,5,BHA,46,Colwill,1,DEF
7,15,10,204214,Pervis,4.8,43,1,586,False,2674,50,0,0,0,3.7,0,0,Estupiñán,a,5,BHA,128,Estupiñán,4,DEF
2,8,6,487117,Evan,2.5,12,6,596,False,942,46,0,0,0,3.4,0,0,Ferguson,a,5,BHA,65,Ferguson,1,FWD
0,0,0,448496,Ed,0.0,0,0,640,False,0,40,0,0,0,0.0,0,0,Turns,u,5,BHA,0,Turns,0,DEF
0,0,0,513834,Andrew,0.0,1,0,651,False,11,45,0,0,0,1.0,0,0,Moran,a,5,BHA,1,Moran,0,MID
0,0,0,440123,James,0.0,0,0,652,False,0,40,0,0,0,0.0,0,0,Furlong,u,5,BHA,0,Furlong,0,DEF
