id,code,first_name,second_name,web_name,team_code,player_type,status,in_dreamteam,form,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,now_cost
64,111317,David,Brooks,Brooks,BOU,MID,a,False,0.0,5,0.8,170,0,0,0,4,0,0,0,1,0,0,0,50
65,158499,Ryan,Christie,Christie,BOU,MID,d,False,0.0,64,2.0,1825,1,2,3,35,0,0,0,2,0,0,2,50
66,155408,Lewis,Cook,L.Cook,BOU,MID,a,False,0.0,51,1.8,1712,0,2,3,39,0,0,0,4,0,0,1,50
67,244085,Siriki,Dembélé,Siriki,BOU,MID,u,False,0.0,6,1.0,104,0,0,0,2,0,0,0,0,0,0,0,45
68,81012,Ryan,Fredericks,Fredericks,BOU,DEF,d,False,0.0,12,1.0,527,0,0,0,11,0,0,0,1,0,0,0,45
69,463981,James,Hill,Hill,BOU,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
70,235530,Lloyd,Kelly,Kelly,BOU,DEF,d,False,0.0,60,2.6,2040,0,2,5,38,0,0,0,3,0,0,5,45
71,444183,Gavin,Kilkenny,Kilkenny,BOU,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
72,222683,Justin,Kluivert,Kluivert,BOU,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
73,128309,Jamal,Lowe,Lowe,BOU,MID,a,False,0.0,2,1.0,11,0,0,0,0,0,0,0,0,0,0,0,50
74,133845,Emiliano,Marcondes,Marcondes,BOU,MID,a,False,0.0,1,1.0,8,0,0,0,1,0,0,0,0,0,0,0,45
75,223911,Chris,Mepham,Mepham,BOU,DEF,a,False,0.0,43,1.7,2197,0,0,5,52,2,0,0,7,0,0,6,45
76,128340,Kieffer,Moore,Moore,BOU,FWD,a,False,0.0,57,2.1,1269,4,0,3,34,0,0,0,1,0,0,3,50
77,69752,Norberto,Murara Neto,Neto,BOU,GKP,a,False,0.0,93,3.4,2385,0,0,6,39,0,0,0,4,0,100,9,45
78,533463,Dango,Ouattara,O.Dango,BOU,MID,a,False,0.0,49,2.6,1239,1,3,1,23,0,0,0,1,0,0,4,50
79,156687,Ben,Pearson,Pearson,BOU,MID,u,False,0.0,9,1.3,282,0,0,1,10,0,0,0,1,0,0,0,45
80,32259,Darren,Randolph,Randolph,BOU,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
81,156685,Joe,Rothwell,Rothwell,BOU,MID,a,False,0.0,33,1.6,1010,0,1,3,15,0,0,0,1,0,0,0,50
82,437730,Antoine,Semenyo,Semenyo,BOU,FWD,d,False,0.0,18,1.6,250,1,0,0,6,0,0,0,0,0,0,1,45
83,221466,Marcos,Senesi,Senesi,BOU,DEF,a,False,0.0,69,2.2,2489,2,0,5,55,0,0,0,7,0,0,5,45
84,54469,Adam,Smith,Smith,BOU,DEF,d,False,0.0,74,2.0,2940,0,1,7,58,0,0,0,11,0,0,5,45
85,154566,Dominic,Solanke,Solanke,BOU,FWD,a,False,0.0,130,3.9,2865,6,10,8,52,0,0,0,2,0,0,14,65
86,201658,Marcus,Tavernier,Tavernier,BOU,MID,d,False,0.0,94,4.1,1740,5,4,5,37,0,0,0,1,0,0,12,55
